Publisher_Name,Profile_Link
ABC Toys,https://www.wafilife.com/cat/books/publisher/abc-toys
Acron,https://www.wafilife.com/cat/books/publisher/acron
Afdal,https://www.wafilife.com/cat/books/publisher/afdal
Akhorbirtto,https://www.wafilife.com/cat/books/publisher/akhorbirtto
Amazfit,https://www.wafilife.com/cat/books/publisher/amazfit
An Nazat,https://www.wafilife.com/cat/books/publisher/an-nazat
Anasup Publication,https://www.wafilife.com/cat/books/publisher/annasup-publication
Anker,https://www.wafilife.com/cat/books/publisher/anker
Apple,https://www.wafilife.com/cat/books/publisher/apple
Asol Food,https://www.wafilife.com/cat/books/publisher/asol-food
Atfaal,https://www.wafilife.com/cat/books/publisher/atfaal
BCS Plus Publications,https://www.wafilife.com/cat/books/publisher/bcs-plus-publications
BEARDBROS,https://www.wafilife.com/cat/books/publisher/beardbros
Baseus,https://www.wafilife.com/cat/books/publisher/baseus
Believer’s Sign,https://www.wafilife.com/cat/books/publisher/believers-sign
Best Time,https://www.wafilife.com/cat/books/publisher/best-time
Binirman Academy,https://www.wafilife.com/cat/books/publisher/binirman-academy
Bonobhumi,https://www.wafilife.com/cat/books/publisher/bonobhumi
Boya,https://www.wafilife.com/cat/books/publisher/boya
Career Publications,https://www.wafilife.com/cat/books/publisher/career-publication
Clear Concept Publication,https://www.wafilife.com/cat/books/publisher/clear-concept-publication
Colmi,https://www.wafilife.com/cat/books/publisher/colmi
Deen Land,https://www.wafilife.com/cat/books/publisher/deen-land
Deli,https://www.wafilife.com/cat/books/publisher/deli
Destination Publications,https://www.wafilife.com/cat/books/publisher/destination-publications
Dom's,https://www.wafilife.com/cat/books/publisher/doms
Duckey,https://www.wafilife.com/cat/books/publisher/duckey
DyuBOOKISH,https://www.wafilife.com/cat/books/publisher/dyubookish
Ekota Stationary,https://www.wafilife.com/cat/books/publisher/ekota-stationary
El Publication,https://www.wafilife.com/cat/books/publisher/el-publication
Endeavor Publications,https://www.wafilife.com/cat/books/publisher/endeavor-publications
FONENG,https://www.wafilife.com/cat/books/publisher/foneng
Falaq Food,https://www.wafilife.com/cat/books/publisher/falaq-food
Fastrack,https://www.wafilife.com/cat/books/publisher/fastrack
