Subject,Author,Publisher,Title,Main_Price,Wafilife_Price
অনুবাদ,Not Listed on Grid,Not Listed on Grid,সেলফ রেসপেক্ট,১০০৳,৯৫৳
অনুবাদ,Not Listed on Grid,Not Listed on Grid,সেলফ রেসপেক্ট,১০০৳,৯৫৳
আইন ও বিচার,Not Listed on Grid,Not Listed on Grid,আইনের শাসন ও বিচার বিভাগের স্বাধীনতা,২০০৳,১৭৮৳
আইন ও বিচার,Not Listed on Grid,Not Listed on Grid,আইনবিষয়ক প্রবন্ধাবলী,৮৫০৳,৭৫৬৳
আইন ও বিচার,Not Listed on Grid,Not Listed on Grid,অ্যাডভোকেট ডায়েরি ২০২৬,৮০০৳,৬৪৯৳
আইন ও বিচার,Not Listed on Grid,Not Listed on Grid,অ্যাডভোকেট ডায়েরি ২০২৪,৮০০৳,৬৪৯৳
আইন ও বিচার,Not Listed on Grid,Not Listed on Grid,International Law and Human Rights Bangladesh Perspective,৬০০৳,৪৮৯৳
আইন ও বিচার,Not Listed on Grid,Not Listed on Grid,হাইকোর্ট পারমিশন ভাইভা সহায়িকা প্রস্তুতি ও কৌশল,৩০০৳,২৪৯৳
আইন ও বিচার,Not Listed on Grid,Not Listed on Grid,দেওয়ানী মোকদ্দমার আইন ও পদ্ধতি,"১,২০০৳",৯৬৯৳
আইন ও বিচার,Not Listed on Grid,Not Listed on Grid,সাংবাদিকতা আইন ও আদালত,৪০০৳,৩২৯৳
আইন ও বিচার,Not Listed on Grid,Not Listed on Grid,বিচার বিভাগীয় আচরণবিধি,৯০০৳,৭২৯৳
আইন ও বিচার,Not Listed on Grid,Not Listed on Grid,দলিল যার জমি তার,৪৬০৳,৩৬৮৳
আইন ও বিচার,Not Listed on Grid,Not Listed on Grid,প্রবলেম অ্যান্ড সলিউশন ফর ফ্যামিলি স্যুট,"১,৭০০৳","১,০২৯৳"
আইন ও বিচার,Not Listed on Grid,Not Listed on Grid,নারী ও শিশু নির্যাতন দমন আইন,৮৫০৳,৪২৯৳
আইন ও বিচার,Not Listed on Grid,Not Listed on Grid,ফৌজদারী কার্যবিধির ১৬৪ ধারা বিজ্ঞ ম্যাজিস্ট্রেট ও তদন্তকারী কর্মকর্তাকে জেরার কৌশল,৮৫০৳,৪৬৯৳
আইন ও বিচার,Not Listed on Grid,Not Listed on Grid,"পাসপোর্ট,ইমিগ্রেশন বৈদেশিক কর্মসংস্থান ও অভিবাসী বিদেশ গমনাগমন সংক্রান্ত আইন ম্যানুয়াল","১,১০০৳",৬০৯৳
আইন ও বিচার,Not Listed on Grid,Not Listed on Grid,"পারিবারিক আদালত আইন, বিচার পদ্ধতি ড্রাফটিং, জবাব, জবানবন্দি ও জেরা",৯৫০৳,৪২৯৳
আইন ও বিচার,Not Listed on Grid,Not Listed on Grid,বিচার কার্যধারায় ডিএনএ এবং ফরেনসিক প্রযুক্তির বিধান,"১,২৫০৳",৫৬৯৳
আইন ও বিচার,Not Listed on Grid,Not Listed on Grid,দণ্ডবিধি,"২,১০০৳","১,০৫৯৳"
আইন ও বিচার,Not Listed on Grid,Not Listed on Grid,Refugee Law,৫০০৳,৩২৯৳
আইন ও বিচার,Not Listed on Grid,Not Listed on Grid,উত্তরাধিকার আইন,৮৫০৳,৫৫৯৳
আইন ও বিচার,Not Listed on Grid,Not Listed on Grid,আইনের সহজ কথা সিভিল প্র্যাকটিস,৭০০৳,৩৫৯৳
আইন ও বিচার,Not Listed on Grid,Not Listed on Grid,চার্জ এবং ডিসচার্জ,"১,৭০০৳",৭৬৯৳
আইন ও বিচার,Not Listed on Grid,Not Listed on Grid,দ্যা ডেভিলস অ্যাডভোকেট,৮৫০৳,৪২৯৳
আইন ও বিচার,Not Listed on Grid,Not Listed on Grid,দ্য টুলস অফ আর্গুমেন্ট ( যুক্তিতর্কের হাতিয়ার ),৮৫০৳,৫১০৳
আইন ও বিচার,Not Listed on Grid,Not Listed on Grid,মাদকদ্রব্য নিয়ন্ত্রণ আইন ও বিধিমালা,৫০০৳,৩২৯৳
আইন ও বিচার,Not Listed on Grid,Not Listed on Grid,International Law,৮৫০৳,৫৫৯৳
আইন ও বিচার,Not Listed on Grid,Not Listed on Grid,ফৌজদারী মামলা পরিচালনার প্র্যাকটিক্যাল পদ্ধতি ও পর্যায়ক্রমিক ধাপসমূহ,"১,০০০৳",৫৯৯৳
আইন ও বিচার,Not Listed on Grid,Not Listed on Grid,"শিশু আইন,২০১৩",৫৫০৳,৩৩৯৳
আইন ও বিচার,Not Listed on Grid,Not Listed on Grid,আইন-শৃঙ্খলা বিঘ্নকারী অপরাধ (দ্রুত বিচার) ও অপরাধ সংক্রান্ত আইন,"১,৮০০৳",৮১৯৳
আইন ও বিচার,Not Listed on Grid,Not Listed on Grid,ফৌজদারি মামলায় জেরার কৌশল,৮৫০৳,৫৫৯৳
আইন ও বিচার,Not Listed on Grid,Not Listed on Grid,মেকিং ইউর কেস,৮৫০৳,৫৫৯৳
আইন ও বিচার,Not Listed on Grid,Not Listed on Grid,রেকর্ড সংশেfধনী মামলা ও খতিয়ানে ভুল সংশোধন পদ্বতি,৭৫০৳,৪১৩৳
আইন ও বিচার,Not Listed on Grid,Not Listed on Grid,"বাটোয়ারা আইন ,রুলিং",৬০০৳,৩৩৯৳
আইন ও বিচার,Not Listed on Grid,Not Listed on Grid,দণ্ডবিধি,"২,১০০৳","১,০৫৯৳"
আইন ও বিচার,Not Listed on Grid,Not Listed on Grid,ভূমি ব্যাবস্থাপনায় নামজারি পক্রিয়া,৯০০৳,৪৯৯৳
