publisher_id,publisher_name,profile_link
1,Unknown Publisher,
2,ABC Toys,https://www.wafilife.com/cat/books/publisher/abc-toys
3,Acron,https://www.wafilife.com/cat/books/publisher/acron
4,Afdal,https://www.wafilife.com/cat/books/publisher/afdal
5,Akhorbirtto,https://www.wafilife.com/cat/books/publisher/akhorbirtto
6,Amazfit,https://www.wafilife.com/cat/books/publisher/amazfit
7,An Nazat,https://www.wafilife.com/cat/books/publisher/an-nazat
8,Anasup Publication,https://www.wafilife.com/cat/books/publisher/annasup-publication
9,Anker,https://www.wafilife.com/cat/books/publisher/anker
10,Apple,https://www.wafilife.com/cat/books/publisher/apple
11,Asol Food,https://www.wafilife.com/cat/books/publisher/asol-food
12,Atfaal,https://www.wafilife.com/cat/books/publisher/atfaal
13,BCS Plus Publications,https://www.wafilife.com/cat/books/publisher/bcs-plus-publications
14,BEARDBROS,https://www.wafilife.com/cat/books/publisher/beardbros
15,Baseus,https://www.wafilife.com/cat/books/publisher/baseus
16,Believer’s Sign,https://www.wafilife.com/cat/books/publisher/believers-sign
17,Best Time,https://www.wafilife.com/cat/books/publisher/best-time
18,Binirman Academy,https://www.wafilife.com/cat/books/publisher/binirman-academy
19,Bonobhumi,https://www.wafilife.com/cat/books/publisher/bonobhumi
20,Boya,https://www.wafilife.com/cat/books/publisher/boya
21,Career Publications,https://www.wafilife.com/cat/books/publisher/career-publication
22,Clear Concept Publication,https://www.wafilife.com/cat/books/publisher/clear-concept-publication
23,Colmi,https://www.wafilife.com/cat/books/publisher/colmi
24,Deen Land,https://www.wafilife.com/cat/books/publisher/deen-land
25,Deli,https://www.wafilife.com/cat/books/publisher/deli
26,Destination Publications,https://www.wafilife.com/cat/books/publisher/destination-publications
27,Doms,https://www.wafilife.com/cat/books/publisher/doms
28,Duckey,https://www.wafilife.com/cat/books/publisher/duckey
29,DyuBOOKISH,https://www.wafilife.com/cat/books/publisher/dyubookish
30,Ekota Stationary,https://www.wafilife.com/cat/books/publisher/ekota-stationary
31,El Publication,https://www.wafilife.com/cat/books/publisher/el-publication
32,Endeavor Publications,https://www.wafilife.com/cat/books/publisher/endeavor-publications
33,FONENG,https://www.wafilife.com/cat/books/publisher/foneng
34,Falaq Food,https://www.wafilife.com/cat/books/publisher/falaq-food
35,Fastrack,https://www.wafilife.com/cat/books/publisher/fastrack
36,Fevicol,https://www.wafilife.com/cat/books/publisher/fevicol
37,Fevicryl,https://www.wafilife.com/cat/books/publisher/fevicryl
38,Foldscope : Paper Microscope,https://www.wafilife.com/cat/books/publisher/foldscope-paper-microscope
39,G-Tide,https://www.wafilife.com/cat/books/publisher/g-tide
40,GXIN,https://www.wafilife.com/cat/books/publisher/gxin
41,Geeoo,https://www.wafilife.com/cat/books/publisher/geeoo
42,Gen-Z Publishers,https://www.wafilife.com/cat/books/publisher/Gen-Z Publishers
43,Ghorer Bazar,https://www.wafilife.com/cat/books/publisher/ghorer-bazar
44,Good luck,https://www.wafilife.com/cat/books/publisher/good-luck
45,Goodman,https://www.wafilife.com/cat/books/publisher/goodman
46,Grihostho,https://www.wafilife.com/cat/books/publisher/grihostho
47,HTC,https://www.wafilife.com/cat/books/publisher/htc
48,Hair Food,https://www.wafilife.com/cat/books/publisher/hair-food
49,Hajj Mart,https://www.wafilife.com/cat/books/publisher/hajj-mart
50,Halda Valley,https://www.wafilife.com/cat/books/publisher/halda-valley
51,Hamnah,https://www.wafilife.com/cat/books/publisher/hamnah
52,Havit,https://www.wafilife.com/cat/books/publisher/havit
53,Haylou,https://www.wafilife.com/cat/books/publisher/haylou
54,Hoco,https://www.wafilife.com/cat/books/publisher/hoco
55,HoneyGo,https://www.wafilife.com/cat/books/publisher/honeygo
56,IMIKI,https://www.wafilife.com/cat/books/publisher/imiki
57,Ibadat,https://www.wafilife.com/cat/books/publisher/ibadat
58,Ibra Business Research and Advisory ltd.,https://www.wafilife.com/cat/books/publisher/ibra-business-research-and-advisory-ltd
59,Iconic Sourcing,https://www.wafilife.com/cat/books/publisher/iconic-sourcing-brands
60,Imilab,https://www.wafilife.com/cat/books/publisher/imilab
61,Index-সূচিপত্র,https://www.wafilife.com/cat/books/publisher/index-shucipatra
62,Innovate Electro Corporation,https://www.wafilife.com/cat/books/publisher/innovate-electro-corporation
63,Innovation Kit - ইনোভেশন কিট,https://www.wafilife.com/cat/books/publisher/innovation-kit
64,Insaf Shop,https://www.wafilife.com/cat/books/publisher/insaf-shop
65,JBL,https://www.wafilife.com/cat/books/publisher/jbl
66,JY Super,https://www.wafilife.com/cat/books/publisher/jy-super
67,Join English,https://www.wafilife.com/cat/books/publisher/join-english
68,Joyroom,https://www.wafilife.com/cat/books/publisher/joyroom
69,Kaloc,https://www.wafilife.com/cat/books/publisher/kaloc
70,Karkuma,https://www.wafilife.com/cat/books/publisher/karkuma
71,Keep Smiling,https://www.wafilife.com/cat/books/publisher/keep-smiling
72,Kemei,https://www.wafilife.com/cat/books/publisher/kemei
73,Khaas Food,https://www.wafilife.com/cat/books/publisher/khaas-food
74,Kieslect,https://www.wafilife.com/cat/books/publisher/kieslect
75,Kingshan,https://www.wafilife.com/cat/books/publisher/kingshan
76,Kirtas,https://www.wafilife.com/cat/books/publisher/kirtas
77,Kospet,https://www.wafilife.com/cat/books/publisher/kospet
78,LDNIO,https://www.wafilife.com/cat/books/publisher/ldnio
79,Legend Kids,https://www.wafilife.com/cat/books/publisher/legend-kids
80,Lenovo,https://www.wafilife.com/cat/books/publisher/lenovo
81,MabiY Shop,https://www.wafilife.com/cat/books/publisher/mabiy-shop
82,Mastoorah,https://www.wafilife.com/cat/books/publisher/mastoorah
83,Memoir & Morrow (M&M),https://www.wafilife.com/cat/books/publisher/memoir-morrow-mm
84,Mibro,https://www.wafilife.com/cat/books/publisher/mibro
85,Mindspark,https://www.wafilife.com/cat/books/publisher/mindspark
86,Montex,https://www.wafilife.com/cat/books/publisher/montex
87,Muslim Day Planner,https://www.wafilife.com/cat/books/publisher/muslim-day-planner
88,Nabab,https://www.wafilife.com/cat/books/publisher/nabab
89,Natraz,https://www.wafilife.com/cat/books/publisher/natraz
90,Natu Get,https://www.wafilife.com/cat/books/publisher/natu-get
91,Naviforce,https://www.wafilife.com/cat/books/publisher/naviforce
92,Nirodhi,https://www.wafilife.com/cat/books/publisher/nirodhi
93,Noise,https://www.wafilife.com/cat/books/publisher/noise
94,Non Brand,https://www.wafilife.com/cat/books/publisher/non-brand
95,Novara Ventures,https://www.wafilife.com/cat/books/publisher/novara-ventures
96,Old Street,https://www.wafilife.com/cat/books/publisher/old-street
