author_id,author_name,profile_link
1,Unknown Author,
2,EL Publications পরিষদ,https://www.wafilife.com/cat/books/author/el-publications-council
3,ইরফান শেখ,https://www.wafilife.com/cat/books/author/irfan-sheikh
4,ড. ডেভ স্লগেট,https://www.wafilife.com/cat/books/author/dr-dave-sluggett
5,তিশা রানী ঘোষ,https://www.wafilife.com/cat/books/author/tisha-rani-ghosh
6,AAOIFI,https://www.wafilife.com/cat/books/author/aaoifi
7,Anwar Dil,https://www.wafilife.com/cat/books/author/anwar-dil
8,Charles Dickens,https://www.wafilife.com/cat/books/author/charles-dickens
9,Dai Jianbing,https://www.wafilife.com/cat/books/author/dai-jianbing
10,Dr. Abul Hossain,https://www.wafilife.com/cat/books/author/dr-abul-hossain
11,Dr. Himel Borkot,https://www.wafilife.com/cat/books/author/dr-himel-borkot
12,Dr. Md. Golzare Nabi,https://www.wafilife.com/cat/books/author/dr-md-golzare-nabi
13,Dr. Muhammad Moniuzzaman,https://www.wafilife.com/cat/books/author/dr-muhammad-moniuzzaman
14,Edgar Rice Burroughs,https://www.wafilife.com/cat/books/author/edgar-rice-burroughs
15,Enamul Haque (Technology matters),https://www.wafilife.com/cat/books/author/enamul-haque-technology-matters
16,Ernest Hemingway,https://www.wafilife.com/cat/books/author/ernest-hemingway
17,Fadlur R Kalim Kashmiri,https://www.wafilife.com/cat/books/author/fadlur-r-kalim-kashmiri
18,Georgian Folk-Take,https://www.wafilife.com/cat/books/author/georgian-folk-take
19,H. G. Wells,https://www.wafilife.com/cat/books/author/h-g-wells
20,John Sanday,https://www.wafilife.com/cat/books/author/john-sanday
21,Jonathan Swift,https://www.wafilife.com/cat/books/author/jonathan-swift
22,Jules Verne,https://www.wafilife.com/cat/books/author/jules-verne
23,Julfikar Newton,https://www.wafilife.com/cat/books/author/julfikar-newton
24,K. A. Islam,https://www.wafilife.com/cat/books/author/k-a-islam
25,Kazi Nurul Haque,https://www.wafilife.com/cat/books/author/kazi-nurul-haque
26,Khalid Baig,https://www.wafilife.com/cat/books/author/khalid-baig-author
27,Larisa Jasarevic,https://www.wafilife.com/cat/books/author/larisa-jasarevic
28,Lewis Caroll,https://www.wafilife.com/cat/books/author/lewis-caroll
29,Lois Lowry,https://www.wafilife.com/cat/books/author/lois-lowry
30,Lt Col (Retd) A KM Maksudul Haque PhD,https://www.wafilife.com/cat/books/author/lt-col-retd-a-km-maksudul-haque-phd
31,M Zohurul Islam FCA,https://www.wafilife.com/cat/books/author/m-zohurul-islam-fca
