author_id,Author_Name,Profile_Link
2,EL Publications পরিষদ,https://www.wafilife.com/cat/books/author/el-publications-council
3,আহমদ আলী,https://www.wafilife.com/cat/books/author/ahmod-ali
4,ইউ.জে. তাসনিম,https://www.wafilife.com/cat/books/author/uj-tasnim
5,ইরফান শেখ,https://www.wafilife.com/cat/books/author/irfan-sheikh
6,কর্নেল (অব.) কাজী নূর-উজ্জামান,https://www.wafilife.com/cat/books/author/colonel-ob-kaji-nuro-ujjaman
7,ড. ডেভ স্লগেট,https://www.wafilife.com/cat/books/author/dr-dave-sluggett
8,ড. নাজাত সালিবি আত-তাউয়িল,https://www.wafilife.com/cat/books/author/dr-najat-salibi-at-tawil
9,তিশা রানী ঘোষ,https://www.wafilife.com/cat/books/author/tisha-rani-ghosh
10,পরেশ চন্দ্র সূত্রধর,https://www.wafilife.com/cat/books/author/paresh-chandra-sutradhar
11,ফারহাত ইশতিয়াক,https://www.wafilife.com/cat/books/author/farhat-istiyak
12,মোস্তাক আহ্‌মাদ,https://www.wafilife.com/cat/books/author/mostak-ahmad
13,রাজশেখর বসু,https://www.wafilife.com/cat/books/author/rajoshekhor-bosu
14,শিমুল ফরিদ,https://www.wafilife.com/cat/books/author/shimul-farid
15,স্টেফান সোয়াইগ,https://www.wafilife.com/cat/books/author/stefan-zweig
16,AAOIFI,https://www.wafilife.com/cat/books/author/aaoifi
17,Anwar Dil,https://www.wafilife.com/cat/books/author/anwar-dil
18,Charles Dickens,https://www.wafilife.com/cat/books/author/charles-dickens
19,Dai Jianbing,https://www.wafilife.com/cat/books/author/dai-jianbing
20,Dr. Abul Hossain,https://www.wafilife.com/cat/books/author/dr-abul-hossain
21,Dr. Himel Borkot,https://www.wafilife.com/cat/books/author/dr-himel-borkot
22,Dr. Md. Golzare Nabi,https://www.wafilife.com/cat/books/author/dr-md-golzare-nabi
23,Dr. Muhammad Moniuzzaman,https://www.wafilife.com/cat/books/author/dr-muhammad-moniuzzaman
24,Dr. Nasir Misfir Al Zahrani,https://www.wafilife.com/cat/books/author/dr-nasir-misfir-al-zahrani
25,Edgar Rice Burroughs,https://www.wafilife.com/cat/books/author/edgar-rice-burroughs
26,Enamul Haque (Technology matters),https://www.wafilife.com/cat/books/author/enamul-haque-technology-matters
27,Ernest Hemingway,https://www.wafilife.com/cat/books/author/ernest-hemingway
28,Fadlur R Kalim Kashmiri,https://www.wafilife.com/cat/books/author/fadlur-r-kalim-kashmiri
29,Georgian Folk-Take,https://www.wafilife.com/cat/books/author/georgian-folk-take
30,H. G. Wells,https://www.wafilife.com/cat/books/author/h-g-wells
31,H.M.M. Jubair Ahmed,https://www.wafilife.com/cat/books/author/hmm-jubair-ahmed
32,John Sanday,https://www.wafilife.com/cat/books/author/john-sanday
33,Jonathan Swift,https://www.wafilife.com/cat/books/author/jonathan-swift
34,Jules Verne,https://www.wafilife.com/cat/books/author/jules-verne
35,Julfikar Newton,https://www.wafilife.com/cat/books/author/julfikar-newton
36,K. A. Islam,https://www.wafilife.com/cat/books/author/k-a-islam
37,Kazi Nurul Haque,https://www.wafilife.com/cat/books/author/kazi-nurul-haque
38,Khalid Baig,https://www.wafilife.com/cat/books/author/khalid-baig-author
39,Larisa Jasarevic,https://www.wafilife.com/cat/books/author/larisa-jasarevic
40,Lewis Caroll,https://www.wafilife.com/cat/books/author/lewis-caroll
41,Lois Lowry,https://www.wafilife.com/cat/books/author/lois-lowry
42,Lt Col (Retd) A KM Maksudul Haque PhD,https://www.wafilife.com/cat/books/author/lt-col-retd-a-km-maksudul-haque-phd
43,M Zohurul Islam FCA,https://www.wafilife.com/cat/books/author/m-zohurul-islam-fca
44,M. Gias Uddin Chy,https://www.wafilife.com/cat/books/author/m-gias-uddin-chy
45,M. Harunur Rashid,https://www.wafilife.com/cat/books/author/m-harunur-rashid
