publisher_id,Publisher_Name,Profile_Link
2,Rahman,https://www.wafilife.com/cat/books/publisher/rahman
3,ABC Toys,https://www.wafilife.com/cat/books/publisher/abc-toys
4,Absar,https://www.wafilife.com/cat/books/publisher/absar
5,Acron,https://www.wafilife.com/cat/books/publisher/acron
6,Afdal,https://www.wafilife.com/cat/books/publisher/afdal
7,Akhorbirtto,https://www.wafilife.com/cat/books/publisher/akhorbirtto
8,Amazfit,https://www.wafilife.com/cat/books/publisher/amazfit
9,An Nazat,https://www.wafilife.com/cat/books/publisher/an-nazat
10,Anasup Publication,https://www.wafilife.com/cat/books/publisher/annasup-publication
11,Anker,https://www.wafilife.com/cat/books/publisher/anker
12,Anwer,https://www.wafilife.com/cat/books/publisher/anwer
13,Apple,https://www.wafilife.com/cat/books/publisher/apple
14,Asol Food,https://www.wafilife.com/cat/books/publisher/asol-food
15,BCS Plus Publications,https://www.wafilife.com/cat/books/publisher/bcs-plus-publications
16,BEARDBROS,https://www.wafilife.com/cat/books/publisher/beardbros
17,BMW,https://www.wafilife.com/cat/books/publisher/bmw
18,Baseus,https://www.wafilife.com/cat/books/publisher/baseus
19,Believer’s Sign,https://www.wafilife.com/cat/books/publisher/believers-sign
20,Best Time,https://www.wafilife.com/cat/books/publisher/best-time
21,Binirman Academy,https://www.wafilife.com/cat/books/publisher/binirman-academy
22,Bonobhumi,https://www.wafilife.com/cat/books/publisher/bonobhumi
23,Boya,https://www.wafilife.com/cat/books/publisher/boya
24,Career Publications,https://www.wafilife.com/cat/books/publisher/career-publication
25,Clear Concept Publication,https://www.wafilife.com/cat/books/publisher/clear-concept-publication
26,Deen Land,https://www.wafilife.com/cat/books/publisher/deen-land
27,Deli,https://www.wafilife.com/cat/books/publisher/deli
28,Destination Publications,https://www.wafilife.com/cat/books/publisher/destination-publications
29,Doms,https://www.wafilife.com/cat/books/publisher/doms
30,Duckey,https://www.wafilife.com/cat/books/publisher/duckey
31,DyuBOOKISH,https://www.wafilife.com/cat/books/publisher/dyubookish
32,Ekota Stationary,https://www.wafilife.com/cat/books/publisher/ekota-stationary
33,El Publication,https://www.wafilife.com/cat/books/publisher/el-publication
34,Endeavor Publications,https://www.wafilife.com/cat/books/publisher/endeavor-publications
35,FONENG,https://www.wafilife.com/cat/books/publisher/foneng
36,Falaq Food,https://www.wafilife.com/cat/books/publisher/falaq-food
37,Fevicol,https://www.wafilife.com/cat/books/publisher/fevicol
38,Fevicryl,https://www.wafilife.com/cat/books/publisher/fevicryl
39,Foldscope : Paper Microscope,https://www.wafilife.com/cat/books/publisher/foldscope-paper-microscope
40,G-Tide,https://www.wafilife.com/cat/books/publisher/g-tide
41,GDS & Air Ticketing Training Academy,https://www.wafilife.com/cat/books/publisher/gds-air-ticketing-training-academy
42,GXIN,https://www.wafilife.com/cat/books/publisher/gxin
43,Geeoo,https://www.wafilife.com/cat/books/publisher/geeoo
44,Gen-Z Publishers,https://www.wafilife.com/cat/books/publisher/Gen-Z Publishers
45,Ghorer Bazar,https://www.wafilife.com/cat/books/publisher/ghorer-bazar
46,Good luck,https://www.wafilife.com/cat/books/publisher/good-luck
47,Grihostho,https://www.wafilife.com/cat/books/publisher/grihostho
48,HTC,https://www.wafilife.com/cat/books/publisher/htc
49,Hair Food,https://www.wafilife.com/cat/books/publisher/hair-food
50,Hajj Mart,https://www.wafilife.com/cat/books/publisher/hajj-mart
51,Halda Valley,https://www.wafilife.com/cat/books/publisher/halda-valley
52,Hamnah,https://www.wafilife.com/cat/books/publisher/hamnah
53,Havit,https://www.wafilife.com/cat/books/publisher/havit
54,Haylou,https://www.wafilife.com/cat/books/publisher/haylou
55,Hoco,https://www.wafilife.com/cat/books/publisher/hoco
56,HoneyGo,https://www.wafilife.com/cat/books/publisher/honeygo
57,IMIKI,https://www.wafilife.com/cat/books/publisher/imiki
58,Ibadat,https://www.wafilife.com/cat/books/publisher/ibadat
59,Ibra Business Research and Advisory ltd.,https://www.wafilife.com/cat/books/publisher/ibra-business-research-and-advisory-ltd
60,Iconic Sourcing,https://www.wafilife.com/cat/books/publisher/iconic-sourcing-brands
61,Imilab,https://www.wafilife.com/cat/books/publisher/imilab
62,Index-সূচিপত্র,https://www.wafilife.com/cat/books/publisher/index-shucipatra
63,Innovate Electro Corporation,https://www.wafilife.com/cat/books/publisher/innovate-electro-corporation
64,Innovation Kit - ইনোভেশন কিট,https://www.wafilife.com/cat/books/publisher/innovation-kit
65,Insaf Shop,https://www.wafilife.com/cat/books/publisher/insaf-shop
66,JBL,https://www.wafilife.com/cat/books/publisher/jbl
67,JY Super,https://www.wafilife.com/cat/books/publisher/jy-super
68,Join English,https://www.wafilife.com/cat/books/publisher/join-english
69,Joyroom,https://www.wafilife.com/cat/books/publisher/joyroom
70,Kaloc,https://www.wafilife.com/cat/books/publisher/kaloc
71,Karkuma,https://www.wafilife.com/cat/books/publisher/karkuma
72,Keep Smiling,https://www.wafilife.com/cat/books/publisher/keep-smiling
73,Kemei,https://www.wafilife.com/cat/books/publisher/kemei
74,Khaas Food,https://www.wafilife.com/cat/books/publisher/khaas-food
75,Kieslect,https://www.wafilife.com/cat/books/publisher/kieslect
76,Kingshan,https://www.wafilife.com/cat/books/publisher/kingshan
77,Kirtas,https://www.wafilife.com/cat/books/publisher/kirtas
78,Kospet,https://www.wafilife.com/cat/books/publisher/kospet
79,LDNIO,https://www.wafilife.com/cat/books/publisher/ldnio
80,Legend Kids,https://www.wafilife.com/cat/books/publisher/legend-kids
81,Lenovo,https://www.wafilife.com/cat/books/publisher/lenovo
82,MabiY Shop,https://www.wafilife.com/cat/books/publisher/mabiy-shop
83,Mastoorah,https://www.wafilife.com/cat/books/publisher/mastoorah
84,Memoir & Morrow (M&M),https://www.wafilife.com/cat/books/publisher/memoir-morrow-mm
85,Mibro,https://www.wafilife.com/cat/books/publisher/mibro
86,Mindspark,https://www.wafilife.com/cat/books/publisher/mindspark
87,Montex,https://www.wafilife.com/cat/books/publisher/montex
88,Muslim Day Planner,https://www.wafilife.com/cat/books/publisher/muslim-day-planner
89,Nabab,https://www.wafilife.com/cat/books/publisher/nabab
90,Natraz,https://www.wafilife.com/cat/books/publisher/natraz
91,Natu Get,https://www.wafilife.com/cat/books/publisher/natu-get
92,Naviforce,https://www.wafilife.com/cat/books/publisher/naviforce
93,Nirodhi,https://www.wafilife.com/cat/books/publisher/nirodhi
94,Noise,https://www.wafilife.com/cat/books/publisher/noise
95,Non Brand,https://www.wafilife.com/cat/books/publisher/non-brand
96,Novara Ventures,https://www.wafilife.com/cat/books/publisher/novara-ventures
97,Old Street,https://www.wafilife.com/cat/books/publisher/old-street
98,Olevs,https://www.wafilife.com/cat/books/publisher/olevs
99,One Ummah BD,https://www.wafilife.com/cat/books/publisher/one-ummah-bd
100,Oneplus,https://www.wafilife.com/cat/books/publisher/oneplus
101,Orientica,https://www.wafilife.com/cat/books/publisher/orientica
102,PARTHIB BOOKS,https://www.wafilife.com/cat/books/publisher/parthib-books
103,Perfumance BD,https://www.wafilife.com/cat/books/publisher/perfumance-bd
104,Petra,https://www.wafilife.com/cat/books/publisher/petra
105,Phoenix Education,https://www.wafilife.com/cat/books/publisher/phoenix-education
106,QCY,https://www.wafilife.com/cat/books/publisher/qcy
107,RealMe,https://www.wafilife.com/cat/books/publisher/realme
108,Remax,https://www.wafilife.com/cat/books/publisher/remax
109,Rongdhonu,https://www.wafilife.com/cat/books/publisher/rongdhonu
110,Rutbah,https://www.wafilife.com/cat/books/publisher/rutbah
111,SKMEI,https://www.wafilife.com/cat/books/publisher/skmei
112,Sabuj Udyog,https://www.wafilife.com/cat/books/publisher/sabuj-udyog
113,Samsung,https://www.wafilife.com/cat/books/publisher/samsung
114,Sankar,https://www.wafilife.com/cat/books/publisher/sankar
115,Seasonfresh,https://www.wafilife.com/cat/books/publisher/seasonfresh
116,Sevendays Notes,https://www.wafilife.com/cat/books/publisher/sevendays-notes
117,Soldiersbd,https://www.wafilife.com/cat/books/publisher/soldiersbd
118,Sreezon,https://www.wafilife.com/cat/books/publisher/sreezon
119,Syed Hammadul Karim,https://www.wafilife.com/cat/books/publisher/syed-hammadul-karim
120,Synapse Sprout Press,https://www.wafilife.com/cat/books/publisher/synapse-sprout-press
121,Talent Stationary,https://www.wafilife.com/cat/books/publisher/talent-stationary
122,TicWatch,https://www.wafilife.com/cat/books/publisher/ticwatch
123,Tiny Online Shop,https://www.wafilife.com/cat/books/publisher/tiny-online-shop
124,Toaseen,https://www.wafilife.com/cat/books/publisher/toaseen
125,TownStore,https://www.wafilife.com/cat/books/publisher/townstore
126,UGO,https://www.wafilife.com/cat/books/publisher/ugo
127,Unlocking Publication,https://www.wafilife.com/cat/books/publisher/unlocking-publication
128,VesojE Agro,https://www.wafilife.com/cat/books/publisher/vesoje
129,Vintage,https://www.wafilife.com/cat/books/publisher/vintage
130,Weidasi,https://www.wafilife.com/cat/books/publisher/weidasi
131,WiWU,https://www.wafilife.com/cat/books/publisher/wiwu
132,Witzman,https://www.wafilife.com/cat/books/publisher/witzman
133,Words and Pages,https://www.wafilife.com/cat/books/publisher/words-and-pages
134,Writer Publication,https://www.wafilife.com/cat/books/publisher/writer-publication
135,XINJI,https://www.wafilife.com/cat/books/publisher/xinji
136,Xiaomi,https://www.wafilife.com/cat/books/publisher/xiaomi
137,Xtra,https://www.wafilife.com/cat/books/publisher/xtra
138,YES,https://www.wafilife.com/cat/books/publisher/yes
139,Zubair Edu Aid,https://www.wafilife.com/cat/books/publisher/zubair-edu-aid
140,Zulfiqar BD,https://www.wafilife.com/cat/books/publisher/zulfiqar-bd
141,eMadrasaah,https://www.wafilife.com/cat/books/publisher/emadrasaah
142,purnota fashion house,https://www.wafilife.com/cat/books/publisher/purnota-fashion-house
143,অক্ষর বুনন,https://www.wafilife.com/cat/books/publisher/aksar-bunan
144,অক্ষরপত্র প্রকাশনী,https://www.wafilife.com/cat/books/publisher/akkharpatra-prokashoni
145,অক্ষরবৃত্ত,https://www.wafilife.com/cat/books/publisher/অক্ষরবৃত্ত
146,অক্সক্যাম পাবলিকেশন,https://www.wafilife.com/cat/books/publisher/oxcam-publication
147,অগ্নি পাবলিকেশনস,https://www.wafilife.com/cat/books/publisher/agni-publications
148,অগ্নিশিখা,https://www.wafilife.com/cat/books/publisher/ognishikha
149,অঙ্কুর প্রকাশনী,https://www.wafilife.com/cat/books/publisher/ankur-prakashani
150,অথেন্টিক পাবলিকেশন্স,https://www.wafilife.com/cat/books/publisher/authentic-publications
151,অদম্য প্রকাশ,https://www.wafilife.com/cat/books/publisher/odommo-prokash
152,অধ্যায় প্রকাশনী,https://www.wafilife.com/cat/books/publisher/oddhay-prokashoni
153,অধ্যয়ন,https://www.wafilife.com/cat/books/publisher/অধ্যয়ন
154,অনন্য প্রকাশন,https://www.wafilife.com/cat/books/publisher/ananya-publication
155,অনন্যা,https://www.wafilife.com/cat/books/publisher/anannya
156,অনার্য পাবলিকেশন্স,https://www.wafilife.com/cat/books/publisher/anarjo-publication
157,অনিন্দ্য প্রকাশ,https://www.wafilife.com/cat/books/publisher/anindya-prokash
158,অনির্বাণ পাবলিকেশন,https://www.wafilife.com/cat/books/publisher/anirban-publication
